full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aihen Muñoz Capellán,22,871689600,La Liga,2019/2020,Midfielder,Real Sociedad,980,357,623,Spain,15,4,7,0,0,0,0,0,0,0,0,4,3,1,11,4,7,1,0,0,0,0,0,0,0,1.01,89,65,980,0,0.09,314,323,-1,25
Aimar Oroz,18,1006819200,La Liga,2019/2020,Midfielder,CA Osasuna,10,10,0,Spain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,-1,31
Aïssa Mandi,28,688089600,La Liga,2019/2020,Defender,Real Betis,2578,1433,1145,Algeria,29,16,13,0,0,0,0,0,0,0,0,6,3,3,34,20,14,10,0,0,0,0,0,0,0,1.19,76,89,258,0,0.35,284,315,91,23
Aitor Fernández Abarisketa,29,673228800,La Liga,2019/2020,Goalkeeper,Levante UD,3240,1620,1620,Spain,36,18,18,0,0,0,0,0,0,0,0,5,4,1,51,19,32,2,0,0,0,0,0,0,0,1.42,64,90,1620,0,0.06,372,350,144,20
Aitor Ruibal García,24,827452800,La Liga,2019/2020,Forward,Leganés,1216,557,659,Spain,25,5,8,0,0,0,0,0,0,0,0,7,3,4,11,4,7,5,0,0,0,0,0,0,0,0.81,111,49,243,0,0.37,287,374,-1,24
Alberto Moreno,28,710294400,La Liga,2019/2020,Defender,Villarreal,1474,690,784,Spain,18,8,9,0,0,0,0,0,0,0,0,6,2,4,20,13,7,6,0,0,0,0,0,0,0,1.22,74,82,246,0,0.37,406,265,101,19
Alberto Rodríguez Baro,22,873849600,La Liga,2019/2020,Defender,Deportivo Alavés,235,52,183,Spain,6,0,2,0,0,0,0,0,0,0,0,2,2,0,4,2,2,1,0,0,0,0,0,0,0,1.53,59,39,235,0,0.38,-1,-1,-1,27
Aleix Febas Pérez,24,823219200,La Liga,2019/2020,Midfielder,RCD Mallorca,1700,752,948,Spain,29,9,13,0,0,0,3,3,0,0,0,5,5,0,31,6,25,4,0,0.16,0.16,0,0,0,0,1.64,55,59,425,567,0.21,303,72,-1,29
Aleix Vidal,30,619660800,La Liga,2019/2020,Defender,Deportivo Alavés,2176,1178,998,Spain,29,14,12,2,1,1,4,3,1,0,0,7,5,2,32,11,21,6,0,0.25,0.17,0.08,0.08,0.09,1088,1.32,68,75,363,544,0.25,173,66,124,3
Alejandro Baena Rodríguez,19,995587200,La Liga,2019/2020,Midfielder,Villarreal,14,14,0,Spain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,-1,-1,-1,17
Alejandro Blesa Pina,0,0,La Liga,2019/2020,Midfielder,Levante UD,1,1,0,Spain,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,28
Alejandro Martínez Sánchez,29,650419200,La Liga,2019/2020,Defender,Granada CF,14,0,14,Spain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,6.43,14,14,14,0,6.43,-1,-1,-1,19
Alejandro Moreno Lopera,27,739497600,La Liga,2019/2020,Midfielder,Real Betis,2265,1118,1147,Spain,31,12,13,0,0,0,4,3,1,0,0,6,3,3,39,19,20,5,0,0.16,0.16,0,0,0,0,1.55,58,73,453,566,0.2,291,73,-1,24
Alejandro Pozo Pozo,21,919641600,La Liga,2019/2020,Midfielder,RCD Mallorca,1532,693,839,Spain,22,7,9,1,1,0,2,1,1,0,0,2,2,0,28,10,18,0,0,0.18,0.12,0.06,0.13,0,1532,1.64,55,70,0,766,0,200,112,-1,7
Alejandro Remiro Gargallo,25,796003200,La Liga,2019/2020,Goalkeeper,Real Sociedad,2250,1260,990,Spain,25,14,11,0,0,0,0,0,0,0,0,6,4,2,28,14,14,0,0,0,0,0,0,0,0,1.12,80,90,0,0,0,336,363,77,20
Aleksandar Sedlar,28,692582400,La Liga,2019/2020,Defender,RCD Mallorca,823,213,610,Serbia,12,2,7,0,0,0,0,0,0,0,0,1,1,0,15,4,11,4,1,0,0,0,0,0,0,1.64,55,69,165,0,0.55,273,357,168,24
Aleksandar Trajkovski,27,715651200,La Liga,2019/2020,Forward,RCD Mallorca,318,124,194,FYR Macedonia,14,0,1,0,0,0,0,0,0,0,0,1,1,0,6,3,3,0,0,0,0,0,0,0,0,1.7,53,23,0,0,0,275,355,-1,26
Alessandro Florenzi,29,668649600,La Liga,2019/2020,Midfielder,Valencia CF,755,378,377,Italy,12,5,4,0,0,0,0,0,0,0,0,3,3,0,8,3,5,2,1,0,0,0,0,0,0,0.95,94,63,252,0,0.36,310,271,-1,15
Álex Alegría,27,718675200,La Liga,2019/2020,Forward,RCD Mallorca,103,73,30,Spain,6,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1.75,52,17,0,0,0,-1,-1,-1,27
Álex Collado Gutiérrez,21,924739200,La Liga,2019/2020,Midfielder,FC Barcelona,5,0,5,Spain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,-1,-1,-1,26
Alexander Isak,20,937872000,La Liga,2019/2020,Forward,Real Sociedad,1497,778,719,Sweden,37,7,7,9,4,5,1,1,0,0,0,9,6,3,19,9,10,4,0,0.6,0.06,0.54,0.46,0.63,166,1.14,79,40,374,1497,0.24,8,192,-1,3
Alexander Szymanowski,31,592704000,La Liga,2019/2020,Midfielder,Leganés,0,0,0,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alfonso,24,829008000,La Liga,2019/2020,Midfielder,Real Betis,1351,732,619,Spain,21,9,6,1,1,0,0,0,0,0,0,3,2,1,20,8,12,3,0,0.07,0,0.07,0.12,0,1351,1.33,68,64,450,0,0.2,195,425,-1,12
Alfonso Pastor Vacas,19,970617600,La Liga,2019/2020,Goalkeeper,Sevilla FC,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Allan Nyom,32,579225600,La Liga,2019/2020,Defender,Getafe CF,2437,1302,1135,Cameroon,34,16,15,2,1,1,0,0,0,0,0,13,8,5,27,14,13,15,2,0.07,0,0.07,0.07,0.08,1219,1,90,72,143,0,0.63,199,401,56,5
Alphonse Areola,27,730771200,La Liga,2019/2020,Goalkeeper,Real Madrid,360,180,180,France,4,2,2,0,0,0,0,0,0,0,0,1,1,0,5,2,3,1,0,0,0,0,0,0,0,1.25,72,90,360,0,0.25,298,302,108,24
Álvaro García Segovia,20,959817600,La Liga,2019/2020,Midfielder,Atlético Madrid,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alvaro Morata,27,719798400,La Liga,2019/2020,Forward,Atlético Madrid,2117,1140,977,Spain,34,15,10,12,7,5,2,2,0,2,1,15,8,7,12,6,6,6,1,0.6,0.09,0.51,0.55,0.46,176,0.51,176,62,353,1059,0.26,12,152,-1,1
Álvaro Odriozola,24,818899200,La Liga,2019/2020,Defender,Real Madrid,344,180,164,Spain,4,2,2,0,0,0,1,1,0,0,0,1,1,0,3,2,1,3,1,0.26,0.26,0,0,0,0,0.78,115,86,115,344,0.78,401,20,21,22
Álvaro Tejero Sacristán,24,837820800,La Liga,2019/2020,Defender,SD Eibar,1448,472,976,Spain,18,5,11,0,0,0,0,0,0,0,0,8,3,5,18,4,14,4,0,0,0,0,0,0,0,1.12,80,80,362,0,0.25,266,362,78,24
Álvaro Vadillo Cifuentes,25,779328000,La Liga,2019/2020,Midfielder,Granada CF,1222,708,514,Spain,22,9,6,3,3,0,1,1,0,1,0,8,7,1,15,6,9,0,0,0.29,0.07,0.22,0.38,0,407,1.1,81,56,0,1222,0,77,182,-1,5
Amath Ndiaye,24,837475200,La Liga,2019/2020,Forward,Getafe CF,59,17,42,Senegal,7,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,-1,-1,-1,14
Anaitz Arbilla,33,548035200,La Liga,2019/2020,Defender,SD Eibar,2007,1102,905,Spain,24,12,10,1,0,1,0,0,0,0,0,5,2,3,37,20,17,5,0,0.04,0,0.04,0,0.1,2007,1.66,54,84,401,0,0.22,232,367,170,14
Ander Barrenetxea Muguruza,18,1009411200,La Liga,2019/2020,Forward,Real Sociedad,430,183,247,Spain,17,1,2,1,1,0,0,0,0,0,0,5,3,2,4,4,0,1,0,0.21,0,0.21,0.49,0,430,0.84,108,25,430,0,0.21,86,366,-1,9
Ander Capa,28,697507200,La Liga,2019/2020,Defender,Athletic Club Bilbao,2875,1555,1320,Spain,35,17,15,3,2,1,4,3,1,0,0,11,8,3,31,11,20,10,0,0.22,0.13,0.09,0.12,0.07,958,0.97,93,82,288,719,0.31,165,108,52,4
Ander Guevara Lajo,23,868233600,La Liga,2019/2020,Midfielder,Real Sociedad,941,486,455,Spain,14,6,5,0,0,0,0,0,0,0,0,3,2,1,13,7,6,4,0,0,0,0,0,0,0,1.24,72,67,235,0,0.38,340,364,-1,18
Ander Iturraspe Derteano,31,605318400,La Liga,2019/2020,Midfielder,RCD Espanyol,240,113,127,Spain,8,1,2,0,0,0,0,0,0,0,0,1,1,0,4,1,3,1,0,0,0,0,0,0,0,1.5,60,30,240,0,0.38,-1,-1,-1,19
Andoni Gorosabel,23,839116800,La Liga,2019/2020,Defender,Real Sociedad,712,252,460,Spain,14,3,5,0,0,0,0,0,0,0,0,3,2,1,10,4,6,2,0,0,0,0,0,0,0,1.26,71,51,356,0,0.25,412,303,110,19
Andoni Zubiaurre Dorronsoro,23,849657600,La Liga,2019/2020,Goalkeeper,Real Sociedad,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
André Felipe Grandi,23,862531200,La Liga,2019/2020,Goalkeeper,Leganés,0,0,0,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
André-Frank Zambo Anguissa,24,816480000,La Liga,2019/2020,Midfielder,Villarreal,2581,1372,1209,Cameroon,36,15,13,2,1,1,0,0,0,0,0,12,7,5,36,20,16,6,0,0.07,0,0.07,0.07,0.07,1291,1.26,72,72,430,0,0.21,193,328,-1,9
Andrei Florin Ratiu,22,898300800,La Liga,2019/2020,Forward,Villarreal,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Andrés Fernández,33,535161600,La Liga,2019/2020,Goalkeeper,Villarreal,360,270,90,Spain,4,3,1,0,0,0,1,1,0,0,0,1,1,0,8,6,2,1,0,0.25,0.25,0,0,0,0,2,45,90,360,360,0.25,405,28,179,18
Andrés Guardado,33,528249600,La Liga,2019/2020,Midfielder,Real Betis,2056,1195,861,Mexico,28,14,11,0,0,0,3,2,1,0,0,5,3,2,28,17,11,9,0,0.13,0.13,0,0,0,0,1.23,73,73,228,685,0.39,326,109,-1,22
Andrés Tomás Prieto Albert,26,750816000,La Liga,2019/2020,Goalkeeper,RCD Espanyol,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Andriy Lunin,21,918691200,La Liga,2019/2020,Goalkeeper,Real Valladolid,0,0,0,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ángel,33,546393600,La Liga,2019/2020,Forward,Getafe CF,1388,815,573,Spain,32,6,3,10,7,3,3,2,1,1,0,11,8,3,20,13,7,6,0,0.84,0.19,0.65,0.77,0.47,139,1.3,69,43,231,463,0.39,4,57,-1,2
Ángel Baena Pérez,19,971395200,La Liga,2019/2020,Forward,Real Betis,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ángel Correa,25,794707200,La Liga,2019/2020,Forward,Atlético Madrid,2063,1004,1059,Argentina,33,11,11,5,4,1,6,4,2,0,0,14,9,5,18,6,12,5,0,0.48,0.26,0.22,0.36,0.08,413,0.79,115,63,413,344,0.22,79,19,-1,5
Ángel Montoro Sánchez,32,583200000,La Liga,2019/2020,Midfielder,Granada CF,972,468,504,Spain,15,5,6,2,2,0,5,1,4,0,0,6,4,2,11,2,9,6,0,0.65,0.46,0.19,0.38,0,486,1.02,88,65,162,194,0.56,97,4,-1,8
Anssumane Fati,17,1036022400,La Liga,2019/2020,Forward,FC Barcelona,1065,674,391,Guinea-Bissau,24,8,3,7,4,3,1,1,0,0,0,7,6,1,12,6,6,3,1,0.68,0.08,0.59,0.53,0.69,152,1.01,89,44,266,1065,0.34,7,162,-1,5
Ante Budimir,29,680140800,La Liga,2019/2020,Forward,RCD Mallorca,2780,1445,1335,Croatia,35,18,15,13,5,8,2,1,1,2,0,5,5,0,51,18,33,12,0,0.49,0.06,0.42,0.31,0.54,214,1.65,55,79,232,1390,0.39,24,200,-1,1
Antoine Griezmann,29,669513600,La Liga,2019/2020,Forward,FC Barcelona,2561,1262,1299,France,35,15,16,9,6,3,4,3,1,0,0,13,7,6,28,9,19,2,0,0.46,0.14,0.32,0.43,0.21,285,0.98,91,73,1281,640,0.07,44,100,-1,3
Antonio Adán,33,547862400,La Liga,2019/2020,Goalkeeper,Atlético Madrid,24,0,24,Spain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,-1,-1,-1,22
Antonio Barragán,33,550454400,La Liga,2019/2020,Defender,Real Betis,638,208,430,Spain,12,2,5,0,0,0,1,0,1,0,0,3,1,2,10,2,8,4,0,0.14,0.14,0,0,0,0,1.41,64,53,160,638,0.56,388,96,139,18
Antonio Cortés Heredia,0,0,La Liga,2019/2020,Forward,Granada CF,177,85,92,Spain,8,0,2,1,0,1,0,0,0,0,0,3,1,2,0,0,0,2,0,0.51,0,0.51,0,0.98,177,0,0,22,89,0,1.02,-1,-1,-1,12
Antonio Islam Otegui Khalife,22,889228800,La Liga,2019/2020,Midfielder,CA Osasuna,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Antonio Jesús Regal Angulo,32,567302400,La Liga,2019/2020,Defender,Real Valladolid,1027,454,573,Spain,15,5,6,0,0,0,0,0,0,0,0,4,3,1,10,3,7,1,0,0,0,0,0,0,0,0.88,103,68,1027,0,0.09,371,386,36,29
Antonio José Raillo Arenas,28,686880000,La Liga,2019/2020,Defender,RCD Mallorca,2779,1351,1428,Spain,32,16,16,1,1,0,0,0,0,0,0,5,5,0,46,14,32,9,1,0.03,0,0.03,0.07,0,2779,1.49,60,87,309,0,0.29,259,352,154,8
Antonio Moya Vega,22,890352000,La Liga,2019/2020,Midfielder,Atlético Madrid,3,3,0,Spain,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,-1,16
Antonio Pacheco Ruiz,18,1010016000,La Liga,2019/2020,Midfielder,Villarreal,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Antonio Sivera Salvá,23,839721600,La Liga,2019/2020,Goalkeeper,Deportivo Alavés,270,90,180,Spain,3,1,2,0,0,0,0,0,0,0,0,1,1,0,3,0,3,1,0,0,0,0,0,0,0,1,90,90,270,0,0.33,-1,-1,-1,22
Anuar Mohamed Tuhami,25,790128000,La Liga,2019/2020,Midfielder,Real Valladolid,181,38,143,Spain,11,0,1,0,0,0,0,0,0,0,0,3,3,0,6,0,6,1,0,0,0,0,0,0,0,2.98,30,16,181,0,0.5,-1,-1,-1,26
Aridane Hernández Umpiérrez,31,606614400,La Liga,2019/2020,Defender,CA Osasuna,2610,1350,1260,Spain,29,15,14,3,1,2,0,0,0,0,0,11,6,5,34,20,14,8,0,0.1,0,0.1,0.07,0.14,870,1.17,77,90,326,0,0.28,155,365,88,4
Ariday Cabrera Suárez,31,591235200,La Liga,2019/2020,Forward,RCD Mallorca,35,0,35,Spain,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2.57,35,18,0,0,0,-1,-1,-1,14
Aritz Aduriz,39,350697600,La Liga,2019/2020,Forward,Athletic Club Bilbao,194,103,91,Spain,14,0,0,1,1,0,0,0,0,0,1,5,4,1,0,0,0,3,0,0.46,0,0.46,0.87,0,194,0,0,14,65,0,1.39,-1,-1,-1,7
Aritz Aranbarri Murua,22,886204800,La Liga,2019/2020,Defender,Real Sociedad,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aritz Castro Pérez,22,895622400,La Liga,2019/2020,Goalkeeper,Deportivo Alavés,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aritz Elustondo,26,764812800,La Liga,2019/2020,Defender,Real Sociedad,1503,766,737,Spain,22,9,8,0,0,0,1,1,0,0,0,4,4,0,19,7,12,4,0,0.06,0.06,0,0,0,0,1.14,79,68,376,1503,0.24,272,196,80,14
Arnau Comas Freixas,20,955411200,La Liga,2019/2020,Defender,FC Barcelona,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Arnau Tenas Ureña,19,991180800,La Liga,2019/2020,Goalkeeper,FC Barcelona,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Arthur Henrique Ramos de Oliveira Melo,23,839808000,La Liga,2019/2020,Midfielder,FC Barcelona,1185,629,556,Brazil,21,8,6,3,2,1,3,3,0,0,0,10,5,5,10,4,6,1,0,0.46,0.23,0.23,0.29,0.16,395,0.76,119,56,1185,395,0.08,76,37,-1,7
Arturo Vidal,33,548640000,La Liga,2019/2020,Midfielder,FC Barcelona,1662,795,867,Chile,33,7,9,8,4,4,2,2,0,0,0,14,8,6,15,5,10,4,0,0.54,0.11,0.43,0.45,0.42,208,0.81,111,50,416,831,0.22,19,120,-1,4
Asier Illarramendi Andonegi,30,636854400,La Liga,2019/2020,Midfielder,Real Sociedad,217,0,217,Spain,3,0,3,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,0,0,0,0,0,1.24,72,72,0,0,0,-1,-1,-1,24
Asier Villalibre Molina,22,875577600,La Liga,2019/2020,Forward,Athletic Club Bilbao,522,224,298,Spain,19,2,3,3,1,2,0,0,0,0,0,4,2,2,8,4,4,0,0,0.52,0,0.52,0.4,0.6,174,1.38,65,27,0,0,0,10,307,-1,5
Aymane Mourid,20,957657600,La Liga,2019/2020,Defender,Leganés,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Beñat,33,540691200,La Liga,2019/2020,Midfielder,Athletic Club Bilbao,388,112,276,Spain,11,0,3,0,0,0,0,0,0,0,0,5,3,2,3,1,2,0,0,0,0,0,0,0,0,0.7,129,35,0,0,0,295,299,-1,22
Bernardo Espinosa,31,616118400,La Liga,2019/2020,Defender,RCD Espanyol,2261,1170,1091,Colombia,26,13,13,3,2,1,0,0,0,0,0,4,2,2,36,17,19,6,1,0.12,0,0.12,0.15,0.08,754,1.43,63,87,323,0,0.28,141,250,147,4
Borja Iglesias Quintas,27,727228800,La Liga,2019/2020,Forward,Real Betis,1921,989,932,Spain,35,11,10,3,2,1,2,1,1,0,0,6,3,3,27,11,16,4,1,0.23,0.09,0.14,0.18,0.1,640,1.26,71,55,384,961,0.23,126,138,-1,7
Borja Mayoral,23,860198400,La Liga,2019/2020,Forward,Levante UD,2147,1157,990,Spain,34,12,12,8,3,5,2,2,0,0,0,6,5,1,32,10,22,2,0,0.42,0.08,0.34,0.23,0.45,268,1.34,67,63,1074,1074,0.08,39,157,-1,2
Borja Sainz Eguskiza,19,980985600,La Liga,2019/2020,Midfielder,Deportivo Alavés,564,274,290,Spain,19,2,3,1,1,0,0,0,0,0,0,5,3,2,8,2,6,1,0,0.16,0,0.16,0.33,0,564,1.28,71,30,564,0,0.16,115,378,-1,8
Brahim Abdelkader Diaz,20,933638400,La Liga,2019/2020,Midfielder,Real Madrid,59,12,47,Spain,6,0,0,0,0,0,0,0,0,0,0,4,3,1,1,0,1,1,0,0,0,0,0,0,0,1.53,59,10,59,0,1.53,-1,-1,-1,25
Brais Méndez,23,852595200,La Liga,2019/2020,Midfielder,Celta de Vigo,1472,791,681,Spain,31,10,5,0,0,0,2,1,1,0,0,9,3,6,20,13,7,4,0,0.12,0.12,0,0,0,0,1.22,74,47,368,736,0.24,376,115,-1,26
Brandon Thomas Llamas,25,791856000,La Liga,2019/2020,Midfielder,CA Osasuna,408,93,315,Spain,8,1,4,0,0,0,1,1,0,0,0,3,2,1,7,2,5,4,0,0.22,0.22,0,0,0,0,1.54,58,51,102,408,0.88,410,39,-1,24
Bruno González Cabrera,30,643507200,La Liga,2019/2020,Defender,Levante UD,635,450,185,Spain,8,5,2,0,0,0,0,0,0,0,0,1,1,0,9,5,4,1,0,0,0,0,0,0,0,1.28,71,79,635,0,0.14,427,403,114,23
Bruno Soriano Llido,36,455846400,La Liga,2019/2020,Midfielder,Villarreal,258,187,71,Spain,7,1,0,0,0,0,0,0,0,0,0,3,2,1,3,2,1,1,0,0,0,0,0,0,0,1.05,86,37,258,0,0.35,-1,-1,-1,25
Bryan Gil Salvatierra,19,981849600,La Liga,2019/2020,Forward,Leganés,616,403,213,Spain,14,2,2,1,1,0,0,0,0,0,0,5,4,1,6,5,1,4,0,0.15,0,0.15,0.22,0,616,0.88,103,44,154,0,0.58,121,432,-1,8
Burgui,26,751852800,La Liga,2019/2020,Midfielder,Deportivo Alavés,20,20,0,Spain,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4.5,20,10,0,0,0,-1,-1,-1,13
Carles Aleña Castillo,22,883958400,La Liga,2019/2020,Midfielder,Real Betis,900,362,538,Spain,21,3,6,1,1,0,0,0,0,0,0,4,3,1,12,4,8,2,0,0.1,0,0.1,0.25,0,900,1.2,75,43,450,0,0.2,154,295,-1,11
Carles Pérez Sayol,22,887587200,La Liga,2019/2020,Forward,FC Barcelona,474,189,285,Spain,10,2,3,1,1,0,2,0,2,0,0,2,1,1,9,2,7,0,0,0.57,0.38,0.19,0.48,0,474,1.71,53,47,0,237,0,94,5,-1,15
Carlos Bacca,33,526521600,La Liga,2019/2020,Forward,Villarreal,683,304,379,Colombia,19,3,4,2,1,1,1,0,1,0,0,8,4,4,6,5,1,1,0,0.4,0.13,0.26,0.3,0.24,342,0.79,114,36,683,683,0.13,57,105,-1,8
